,DMI,AO,AMON,NAO,NINO,PDO
1964-07-01,-0.829,0.734,-0.155,2.44,-0.6,-1.08
1964-08-01,-0.683,-1.207,-0.245,-2.46,-0.7,-1.6
1964-09-01,-0.981,-0.227,-0.231,0.5,-0.8,-1.35
1964-10-01,-1.027,0.342,-0.282,0.63,-0.8,-0.64
1964-11-01,-0.284,-0.344,-0.177,1.33,-0.8,-0.68
1964-12-01,-0.182,-0.246,-0.132,-1.24,-0.8,-0.62
1965-01-01,-0.331,-1.046,-0.21,0.01,-0.6,-0.95
1965-02-01,-0.447,-2.084,-0.188,-3.03,-0.3,-0.61
1965-03-01,-0.186,-0.905,-0.089,0.23,-0.1,-0.17
1965-04-01,-0.285,0.568,-0.108,2.14,0.2,-0.01
1965-05-01,-0.54,-0.153,-0.11,-0.08,0.5,-0.66
1965-06-01,-0.487,0.038,-0.138,0.87,0.8,-0.76
1965-07-01,-0.473,-0.51,-0.199,-1.71,1.2,-0.74
1965-08-01,-0.247,-0.255,-0.221,1.59,1.5,0.32
1965-09-01,-0.197,-0.698,-0.233,-1.01,1.9,0.83
1965-10-01,0.017,0.394,-0.259,-1.26,2.0,0.3
1965-11-01,-0.225,-1.341,-0.288,-1.78,2.0,0.47
1965-12-01,-0.29,0.163,-0.135,1.24,1.7,0.25
1966-01-01,-0.232,-3.232,-0.087,-1.01,1.4,-0.67
1966-02-01,-0.163,-1.438,-0.001,-0.38,1.2,-0.43
1966-03-01,-0.341,-0.911,-0.021,1.05,1.0,-1.0
1966-04-01,-0.435,-1.837,0.032,1.18,0.7,-0.37
1966-05-01,-0.423,1.124,-0.01,1.51,0.4,-0.76
1966-06-01,-0.119,0.408,-0.057,0.82,0.2,0.1
1966-07-01,-0.004,0.011,-0.067,-1.99,0.2,0.01
1966-08-01,0.129,-0.945,-0.055,-2.03,0.1,-0.29
1966-09-01,0.102,0.011,-0.012,-0.47,-0.1,-0.35
1966-10-01,-0.304,-1.077,0.002,-2.89,-0.1,-0.6
1966-11-01,-0.361,0.111,-0.009,-0.07,-0.2,-0.71
1966-12-01,-0.236,-1.401,0.068,1.68,-0.3,-0.21
1967-01-01,-0.236,-0.576,0.07,0.04,-0.4,-0.24
1967-02-01,-0.073,1.18,0.076,1.7,-0.5,-0.25
1967-03-01,0.248,1.967,-0.046,3.0,-0.5,-0.8
1967-04-01,-0.263,1.7,-0.027,-0.76,-0.4,-1.13
1967-05-01,-0.165,0.127,-0.199,-0.46,-0.2,-1.54
1967-06-01,0.044,0.647,-0.273,1.96,0.0,-1.2
1967-07-01,0.14,0.259,-0.242,1.44,0.0,-1.21
1967-08-01,0.13,-0.293,-0.177,-0.41,-0.2,-1.55
1967-09-01,0.145,0.133,-0.109,0.32,-0.3,-0.6
1967-10-01,0.159,1.299,-0.112,1.34,-0.4,-0.06
1967-11-01,0.023,0.334,-0.246,-0.91,-0.3,0.36
1967-12-01,0.054,-0.347,-0.165,-0.53,-0.4,-0.68
